somali,english,russian,known_percent,note,note_ru,source
"Ninkii qayrkii loo xiirayow, soo qoyso adiguna","If somebody of your age is being shaved, wet your own hair [i.e. get ready for the same trouble].","Если бреют твоего ровесника, намочи и ты свои волосы [т. e. приготовься сам к такой же беде].","68.93","","","hubsiimo"
"Sir-ma-qabe Allaa u sahan ah","Allah himself helps a simple man to find a good place for his camp.","Бесхитростному человеку место для стоянки сам Аллах ищет.","68.93","","","hubsiimo"
"Wixii uurkaaga ku jira afkaa kaa xada","Your tongue steals what hides your soul [lit: stomach].","Что в душе [букв.: животе] кроется, то язык выдаёт [букв.: крадёт].","68.93","According to Somalis, the stomach is the main seat of the mind (although the chest and the head are sometimes also considered its seats).","По представлению сомалийцев, живот является основным вместилищем разума (иногда местом пребывания разума считают грудь и голову).","hubsiimo"
"Arrini madax la qabtay leedahaye mijo la qabto ma leh","A problem can be seized (only) by its head, one cannot seize it by its tail [lit.: ankle].","Дело можно ухватить (только) за голову —  за хвост [букв.: за голень] его не ухватишь.","66.71","","","hubsiimo"
"Been sheeg, laakiin been run u eg sheeg","Tell lies, but let your lies resemble the truth.","Врать ври, но пусть твоё враньё походит на правду.","66.71","","","hubsiimo"
"Beenlow nin dhintay iyo nin dheer ayuu marqaati u qabsadaa","A liar calls as witness one who is either dead or far away [i.e. someone who cannot come].","Лгун призывает в свидетели или мёртвого, или далёкого [т. е. того, кто не может прийти].","66.71","","","hubsiimo"
"Dameeri isku-halleyn bay hooyadeed dabada uga nuugtaa","A foal quietly suckles a she-donkey from behind [not being afraid of a kick].","Ослёнок сосёт ослицу сзади [не боясь, что она его лягнёт].","66.71","","","hubsiimo"
"Dhar magaalo intii laga xirto waa dhow tahay, dhal magaalase intii lagu noqdo waa dheer tahay","One can quickly put on town clothes, but it takes a long time to become a townsman.","Надеть городскую одежду можно быстро, но, чтобы стать горожанином, нужно время.","66.71","","","hubsiimo"
"Gabar guri ha kaa gasho ama god","Only a (timely) marriage or (untimely) death [lit: a grave] can keep your daughter (from disgrace).","От позора дочь убережёт лишь (своевременное) замужество или (безвременная) смерть [букв.: могила].","66.71","","","hubsiimo"
"Gari Ilaah bay taqaan","Justice knows only Allah.","Справедливость знает только Аллаха.","66.71","This goes back to a tale about ina Sanweine, known to be a just man, whose wife's brother appropriated somebody else's she-camel. The victim asked ina Sanweine to settle the dispute, and after having examined the case he told his relative: ""Justice does not know a father-in-low and a brother-in-low, a relative by blood and a relative by marriage, a son and a daughter, a brother and a sister, a father and a mother, a maternal uncle and a paternal uncle, a distant relation and a close relation. Justice knows only Allah. Man, return the she-camel!""","Изречение восходит к сказке об Ина Санвейне, известном своей справедливостью. Брат его жены присвоил чужую верблюдицу, и её хозяин попросил Ина Санвейна разрешить спор. Рассмотрев дело, тот сказал своему родственнику: «Справедливость не знает ни шурина, ни тестя, ни родства, ни свойства, ни сестёр, ни братьев, ни отца, ни матери; она не знает ни жены, ни мужа, ни дядьев, ни тёток, ни ближних, ни дальних, ни друзей, ни знакомых. Справедливость знает только Аллаха. О человек, верни верблюдицу!»","hubsiimo"
"‘Geel baan lahaan jiray’ ‘dameer baan leeyahay’ baa dhaanta","‘I have a donkey’ is better than ‘I used to have camels’.","Лучше „У меня есть осёл“, чем „У меня были верблюды“.","66.71","","","hubsiimo"
"Naag kun baa koodisa iyo kow, kowgaana guursada","A thousand and one may court a girl [lit: a woman], but only one marries her.","За девушкой [букв.: женщиной] ухаживают тысяча и один, а женится один.","66.71","","","hubsiimo"
"Nin aan shantaadu kaa reebin sharci kaama reebo","The law will not save you from the man you have failed to save yourself from with your fist.","От кого не избавит кулак [т. е.  сила], от того не избавит и закон.","66.71","","","hubsiimo"
"Nin sigtay ma noola","If the blow missed you that does not mean that you may feel safe [because another blow can be delivered].","Если удар прошёл мимо тебя, это не значит, что ты можешь чувствовать себя в безопасности [так как в другой раз удар может достигнуть цели].","66.71","","","hubsiimo"
"Awr awr wado iyo nin naagi waddo, midna kaama baydho","You cannot evade the camel which is driven [in your direction] by another camel, nor the man who is driven [i.e. set on you] by a woman [i.e. a woman skillfully uses a man for pursuing her ends].","Как от верблюда, которого гонит (в твою сторону) другой верблюд, так и от мужчины, которого гонит [т. е. натравливает на тебя] женщина, не увернёшься [т. е. женщина умело использует мужчину в своих целях].","64.49","","","hubsiimo"
"Booraan hadimo ha qodin, ku dhici doontaana mooyee","If you dig a hole for somebody, be careful not to fall into it yourself.","Не рой другому яму, сам в неё упадёшь.","64.49","","","hubsiimo"
"Carruurnimo waa ciil laga weynaaday","Childhood is a grudge, which will be forgotten in time.","Детство — это обида, которая со временем забудется.","64.49","Said to a child who is eager to become adult.","Говорится ребёнку, которому не терпится повзрослеть.","hubsiimo"
"Dan iyo xarrago is weyday","You cannot pursue profit and maintain dignity.","Нельзя и к выгоде стремиться, и достоинство сохранять.","64.49","","","hubsiimo"
"Dhagarqabe dhulkaa u dhaqdhaqaaqa","The ground quakes under a rascal [i.e. it seems to him that he is pursued].","Под пройдохой земля дрожит [т. е. ему кажется, что за ним гонятся].","64.49","","","hubsiimo"
"Dhurwaa kan ciya iyo kan aammusan, kan ciyaa roon","A barking hyena is better than one which keeps silent [it is less dangerous].","Лающая гиена лучше молчащей [не так опасна].","64.49","","","hubsiimo"
"Erayga alifka ku qalloocdaa al bakhra kuma tooso","If you make a mistake in the first letter of a word, it will not become correct by the last letter [lit.: by the last Surah of the Quran].","Если ошибиться в первой букве слова, то к последней букве [букв.: к последней суре Корана] оно уже не выправится.","64.49","","","hubsiimo"
"Geeljire geela waa wada jiraa, waana kala jiraa","When the camels graze together each herdsman keeps close to his own.","Когда верблюды пасутся вместе, каждый пастух держится поближе к своим (верблюдам).","64.49","","","hubsiimo"
"Geeriyi nin aanad garanayn iyo geeljiray ku roon tahay","Death is better when it takes a man you do not know [i.e. a stranger] or a herdsman you do not see [i.e. one who is far away].","Лучше, когда умирает человек, которого ты не знаешь [т. е. чужой], или пастух, которого ты не видишь [т. е. находящийся далеко от тебя].","64.49","","","hubsiimo"
"Kab iyo xaarkeed waa laysla tuuraa","A shoe is thrown out together with the shit it has got into.","Башмак выбрасывают вместе с дерьмом, в которое он вляпался.","64.49","This means: people get rid of a person whose act shames not only himself, but also others.","Употребляется в значении: люди избавляются от человека, поступок которого позорит не только его самого, но и других.","hubsiimo"
"Markii aan tamar hayayna talo ma hayn, maantoon talo hayana tamar ma hayo","When I had strength I did not have brains, now I have brains but do not have strength.","Когда была сила, ума не было, а теперь есть ум, да нет силы.","64.49","","","hubsiimo"
"Nin qoyani biyo iskama dhowro","A wet man is not afraid of water.","Мокрый воды не боится.","64.49","","","hubsiimo"
"Run iyo ilkaba waa la caddeeyaa","Truth and teeth should both be polished.","Правду и зубы следует чистить до блеска.","64.49","","","hubsiimo"
"Saddex baa rag ugu liita: ma-toshe, ma-tashade iyo ma-tashiishe","Of all men, three types are the worst: he who does not know how to sew (clothes), he who does not know how to get (clothes), and he who does not know how to take care of them.","Хуже всех мужчин трое: тот, кто не умеет шить одежду, тот, кто не умеет её добыть, и тот, кто не умеет её носить.","64.49","","","hubsiimo"
"Sidaad dooneyso haddaad weydo, sidaad ka badin weyso ayaa la yeelaa","If you fail to do what you want, do what you have to do.","Если не выходит, как хочешь, — делай, что можешь.","64.49","","","hubsiimo"
"Sidee xeego loo xagtaa, ilkana u nabad galaan?","Is it possible to gnaw a hego and not break any teeth?","Можно ли и хего грызть, и зубы не поломать?","64.49","Hego is a very hard fruit of one of the palm trees growing in Somalia.","Хего —  очень твёрдый плод одной из пальм, растущих в Сомали.","hubsiimo"
"Tuug la qabtay talo ma leh","A caught thief has no excuse.","Пойманный вор оправдаться не может.","64.49","","","hubsiimo"
"Weysha gowrac, dibigu ha ku quustee","Slaughter the heifer so that the bull gets the message [i.e. punish one person as a warning to another].","Зарежь тёлку, чтобы бык понял [т. е. накажи одного в назидание другому].","64.49","","","hubsiimo"
"Abeesadii lix jir kugu qaniintaa lixdan jir bay kugu dishaa","A snake-bite received at the age of six kills you at the age of sixty [i.e. evil lingers a long time].","Укус змеи, полученный тобою в шесть лет, в шестьдесят лет тебя с ног валит [т. е. зло долго даёт о себе знать].","62.27","","","hubsiimo"
"Adduunyo waa hooska labadiisa gelin","The world is like a shadow: in the morning it is turned towards one direction, in the evening towards the opposite one [i.e. it is changeable].","Мир подобен тени: утром (глядит) в одну сторону, а вечером – в другую [т. е.  он изменчив].","62.27","","","hubsiimo"
"Ama leg hay, ama lug hay","Catch hold of a brisket or at least a leg [i.e. it is better to get something than nothing].","Хватай грудинку или хотя бы ногу [т. е. лучше получить хоть что-нибудь, чем ничего].","62.27","","","hubsiimo"
"Caado la gooyey caro Allay leedahay","Breaking a custom angers God.","Нарушение обычая Бога гневит.","62.27","","","hubsiimo"
"Cadowgaaga caano mac ayaa la siiyaa","An enemy should be treated to fresh milk [i.e. should be treated as a dear guest in order to lessen his vigilance].","Врага угощают парным молоком [т. е. принимают, как дорогого гостя, чтобы усыпить его бдительность].","62.27","","","hubsiimo"
"Dagaal wiil baa ku dhinta ee wiil kuma dhasho","In war, sons die, but none are born.","На войне сыновья погибают, но не рождаются.","62.27","","","hubsiimo"
"Dhar aanad lahayni dhaxan kaama cesho","Somebody else's clothes do not warm you.","Чужая одежда не греет.","62.27","","","hubsiimo"
"Gees lo'aad kulaylkaa lagu gooyaa","Cut off the cow's horn while (the knife) is still hot.","Коровий рог режут, пока (нож) не остыл.","62.27","","","hubsiimo"
"Hadday geeriyi ku deyn lahayd, gabow baan ku daayeen","If you have managed to avoid (premature) death, you will not manage to avoid old age.","Если от (преждевременной) смерти тебе удалось уйти, то от старости уйти тебе не удастся.","62.27","","","hubsiimo"
"Nin aad fadhi kaga adag tahay looma sare joogsado","If you can defeat someone while sitting, there is no need to stand up.","Если можешь одолеть кого-то сидя, вставать незачем.","62.27","","","hubsiimo"
"Nin aan baqin waa loo baqaa","One fears for the man who does not fear for himself [i.e. who does not take care of himself].","Кто сам за себя не боится [т. е. сам себя не бережёт], за того боязно.","62.27","","","hubsiimo"
"Roonaa Rabbaa og","Only God knows what is best.","Только Бог знает, что лучше.","62.27","","","hubsiimo"
"Saddex waa layku nacaa: baryo badan, bukto badan iyo baahi badan","Three types – beggars, ailing people and gluttons – are all disliked equally.","Троих — попрошаек, больных и обжор — одинаково не любят.","62.27","","","hubsiimo"
"Sir naageed lama sal gaaro","Women’s tricks are impossible to fathom.","Женские хитрости постичь до конца невозможно.","62.27","","","hubsiimo"
"Taladaan la ruugin waa lagu rafaadaa","An unconsidered [lit.: unchewed] decision will make you suffer.","Необдуманное [букв.: непрожёванное] решение заставит тебя страдать.","62.27","","","hubsiimo"
"Ushaada nin aad ka qaadan kartid ayaa loo dhiibtaa","Give your stick (to hold) only to someone you can take it back from.","Свою палку давай (подержать) лишь тому, у кого сможешь её отнять.","62.27","","","hubsiimo"
"Waxaad barataaba waa baaskaa","What will ruin you is what you have got accustomed to.","К чему привык – то тебя и погубит.","62.27","","","hubsiimo"
"Ballandarro waa diindarro","Not keeping a promise is the same as renouncing your faith.","Не сдержать обещания — то же, что отречься от веры.","60.05","","","hubsiimo"
"Belo ama il la'ayd, ama lug la'ayd","A wicked man is lacking either one eye or one leg [which means that he cannot damage the people round him in full measure].","Злому человеку недостаёт либо глаза, либо ноги [что и не позволяет ему в полной мере вредить окружающим].","60.05","","","hubsiimo"
"Dad iyo duurba wax aadan filayn baa kaaga soo baxa","Expect from people and the forest what you least expect [i.e. people’s actions are hard to predict].","От людей и от леса жди того, чего и ждать нельзя [т. е. поступки людей трудно предугадать].","60.05","","","hubsiimo"
"Doqoni sokeeye ma aha","A fool is not a kinsman [i.e. one cannot rely upon him].","Дурак – не родич [т. е. на него нельзя положиться].","60.05","","","hubsiimo"
"Dheri ninkii ag jooga ayaa lafta kala baxa","He who sits close to a cooking pot gets a (good) bone.","Кто ближе всех к котлу, тому и (лучшая) кость достаётся.","60.05","","","hubsiimo"
"Gacantii qaad-qaad barata gummudkeedaa   dhaqdhaqaaqa","If the hand which used to catch [i.e. steal] is chopped off, the stump will twitch [i.e. it will still try to catch something].","Отрубили руку, привыкшую хватать [т. е. воровать], — культя дёргается [т. е.  всё ещё пытается что-либо ухватить].","60.05","","","hubsiimo"
"Gadaal-ka-gaar waa goob-dumis","He who comes late ruins the gathering [because his untimely remarks interfere with a decision already agreed upon].","Опоздавший всю сходку губит [так как своими суждениями не к месту мешает утвердить уже согласованное решение].","60.05","","","hubsiimo"
"Laba kala bariday kala war la'","If two men spent a night far from each other, neither knows how the other is now.","Если двое провели ночь вдали друг от друга, ни один из них не знает, что сейчас с другим.","60.05","","","hubsiimo"
"Lax dhukani abaar moog","The short-eared sheep does not hear the complaints about the drought [i.e. a well-fed person does not think about the suffering of others].","Короткоухая овца жалоб на засуху не слышит [т. е. сытый не думает о страданиях других].","60.05","","","hubsiimo"
"Lax walba shillalkay is dhigtaa lagu qalaa","A sheep is slaughtered on the deck on which she herself is standing [i.e. everybody gets according to his deserts].","Овцу режут на том настиле, на который она сама встаёт.","60.05","","Употребляется в значении: каждый получает по своим заслугам.","hubsiimo"
"Marti badan iyo baryo badanba waa laysku nacaa","Annoying guests and beggars are equally disliked.","Назойливых гостей и попрошаек одинаково не любят.","60.05","","","hubsiimo"
"Naago nin ay legdaan kama kacaan","A woman [ lit.: women] will not get off the man she has brought down.","Кого женщина [букв.: женщины] повалит – с того не слезет.","60.05","","","hubsiimo"
"Nin aan dhididini ma dhergo","He who does not sweat [i.e. does not toil] does not eat his fill.","Кто не потеет [т. е. не трудится], тот досыта не ест.","60.05","","","hubsiimo"
"Qaybshe qad ama qaaday","He who divides something gets either nothing or too much.","Тому, кто делит, либо не остаётся ничего, либо достаётся слишком много.","60.05","","","hubsiimo"
"Rag waa shaah, dumarna waa sheeko","Men like tea, women like conversation.","Мужчины любят чай, а женщины — разговоры.","60.05","","","hubsiimo"
"Salaadi siday kuu qabataa loo tukadaa","As you are placed when caught by prayer-time, just so pray.","Где тебя застало время молитвы, там и молись.","60.05","","","hubsiimo"
"Xisaabi xil ma leh","To count [money, things] is not shameful.","Считать [деньги, вещи] не стыдно.","60.05","","","hubsiimo"
"Doqonnimo daawo ma leh","One cannot be cured of foolishness.","От глупости не излечишься.","57.83","","","hubsiimo"
"Dhagax taabasho iyo tuujin waa isugu mid","It is all the same to a stone whether you touch it or squeeze it [i.e. it does not matter].","Камень хоть сжимай, хоть трогай – ему ничего не сделается [букв.: ему всё равно].","57.83","","","hubsiimo"
"Fuley habartii ma gablanto","The mother of a coward does not lose her son.","Мать труса сына не теряет.","57.83","","","hubsiimo"
"Ilko abeeso hoos bay ka xidhiidhaan","The snake’s teeth grow from one jaw [lit.: they are joined below].","Зубы у змеи растут из одной челюсти [букв.: соединены внизу].","57.83","This means: Kinsmen are bound by indissoluble ties.","Употребляется в значении: между родственниками существует нерасторжимая связь.","hubsiimo"
"Iskaashato ma kufto","If people support each other they do not fall.","Если люди поддерживают друг друга, они не падают.","57.83","","","hubsiimo"
"Labaatanjir intuu geed ka booduu talo ka boodaa","For a twenty-year-old, making a mistake is like jumping over a log [i.e. just as easy].","Двадцатилетнему ошибиться – что через бревно перескочить [т. е. так же легко].","57.83","","","hubsiimo"
"Matag meeshaad doonayso kuguma simo","A man vomits not where he wants to but where he feels sick.","Человек блюёт не там, где хочет, а там, где его стошнит.","57.83","This means:  a man is not able to control everything in his behavior.","Употребляется в значении: не всё в своём поведении человек способен контролировать.","hubsiimo"
"Meel lagaa jecel yahay haddaad ka tagtid, meel lagaa neceb yahay ayaad tagtaa","If you leave where you are loved, you will come to where you are hated.","Если уйдёшь оттуда, где тебя любят, – придёшь туда, где тебя ненавидят.","57.83","","","hubsiimo"
"Nin aad kabtiisa toleysid oo kafantaada tolaya","You sew sandals for him, while he sews a shroud for you.","Ты ему шьёшь сандалии, а он тебе — саван.","57.83","","","hubsiimo"
"Ninba intuu cunuu ciidamiyaa","As a man eats, so he works.","Кто как ест, тот так и работает.","57.83","","","hubsiimo"
"Qooq ma jabee ninkiisaa jaba","It is not the folly that gets beaten, but its owner.","Бьют не дурь, а её хозяина.","57.83","","","hubsiimo"
"War la qabaa xiiso ma leh","News you already know is not interesting.","Новость, которую ты уже знаешь, неинтересна.","57.83","","","hubsiimo"
"Waxaad taqaan guurso, waxaad taqaan ha kuu dhashee","Marry a woman you are sure of and you will have no doubt of your children [i.e. you will be sure that you are their father].","Женись на женщине, которой доверяешь, и тебе не придётся сомневаться в своих детях [то есть, в том, что они действительно твои].","57.83","","","hubsiimo"
"Calool dheregsani calool baahan kama naxdo","A full stomach does not sympathize with an empty stomach.","Сытый живот голодному животу не сочувствует.","55.61","","","hubsiimo"
"Daacadi ma hungowdo","Honesty does not come empty-handed [i.e. honesty does not go unrewarded].","Честности с пустыми руками не бывает [т. е. честность не остаётся без вознаграждения].","55.61","","","hubsiimo"
"Doqoni xadhkaha lagu xidhayo xusulladay ku sidataa","A fool himself carries the rope with which he will be bound [lit.: carries it on his own elbow].","Дурак сам несёт верёвку, которой его свяжут [букв.: несёт её на собственном локте].","55.61","","","hubsiimo"
"Fadhi iyo fuud yicibeed laysku waa","One cannot sit at home [i.e. idle] and enjoy almond nut soup.","Нельзя и дома сидеть [т. е. бездельничать], и миндальным супом лакомиться.","55.61","Somalis usually go to remote and often almost inaccessible places to gather these very nutritious nuts.","Для сбора миндальных орехов сомалийцы отправляются в отдалённые и, как правило, труднодоступные места.","hubsiimo"
"Geesi Allah ma xilo","Allah does not disgrace a brave man.","Храброго Бог не обижает.","55.61","","","hubsiimo"
"Khayr wax kaama dhimee shar u toog hay","In good times be ready for bad times [i.e. well-being is not eternal and can be replaced by misfortune].","Живя в добре, жди худа [т. е. благополучие не вечно и может смениться несчастьем].","55.61","","","hubsiimo"
"Kula-jire, kaa-jire","He is with you but not with you [i.e. he only pretends to be your friend].","Он с тобой, но не с тобой [т. е. он лишь притворяется твоим другом].","55.61","","","hubsiimo"
"Meel siday u taallo ayaa loola yaallaa","As a place stands, so stand in it (i.e. what is the place where you are, so behave in it).","Как место стоит, так в нём и стой (т. е. каково место, где ты находишься, так в нём себя и веди).","55.61","","","hubsiimo"
"Nin intuu geed ka boodo ayuu talo ka boodaa","For a man, making a mistake is like jumping over a log [i.e. just as easy].","Человеку ошибиться – что через бревно перескочить [т. е. так же легко].","55.61","","","hubsiimo"
"Nin kaa hadal badan dhaxalka aabbahaa ayuu kaa qadiyaa","He whose tongue is more eloquent than yours, will deprive you of your father's inheritance.","У кого язык лучше подвешен, тот и отцовское наследство у тебя отспорит.","55.61","","","hubsiimo"
"Nin sabraa sed leh","A patient man will get his share.","Терпеливый без своей доли не останется.","55.61","","","hubsiimo"
"Ninkii boqolka soomay oo bakhtiga ku affuray","He fasted for a hundred days but broke his fast with carrion.","Сто дней постился, а разговелся падалью.","55.61","","","hubsiimo"
"Qori iyo qiiqiisa waa laysla tuuraa","To get rid of the smoke, one throws out the charred log [i.e. together with the bad, one throws out the good].","Избавляясь от дыма, выбрасывают и головню [т. е. вместе с плохим выбрасывают и хорошее].","55.61","","","hubsiimo"
"Talo adigaa ku nool ee iyadu kuguma noola","It is you who need advice, it does not need you [i.e. advice should not be neglected].","Совет нужен тебе, а не ты ему [т.е. советом пренебрегать не следует].","55.61","","","hubsiimo"
"Talo isuma kaa sheegto","The right decision does not come by itself [i.e. it has to be found].","Верное решение само не приходит [т. е. его надо искать].","55.61","","","hubsiimo"
"Bakayle intuu bur ku jiruu bur kale daydaydaa","The hare sits under one bush but looks out for another [to which it might run if endangered].","Пока заяц сидит под одним кустом, он себе уже другой присматривает [чтобы было куда бежать в случае опасности].","53.39","","","hubsiimo"
"Baroorta ceesaanta ka weyn","One does not weep like that over a goat [i.e. the real reason for the grief is something else, more serious].","По козе так не плачут [т. е. настоящая причина горя в чём-то другом, более серьёзном].","53.39","","","hubsiimo"
"Belaayo intay kaa maqan tahay, qayrkaa bay ku maqan tahay","If misfortune does not come to you, it comes to one of your peers [i.e. someone always has misfortune: if not you, then someone else].","Не у тебя беда, так у сверстника [т. е. беда всегда у кого-нибудь есть: не у тебя, так у другого].","53.39","","","hubsiimo"
"Caano daatay dabadoodaa la qabtaa","When milk spills, one catches it by the tail [i.e. when everything is already lost, one tries to save at least the little that can still be saved].","Когда молоко проливается, его и за хвост ловят [т. е. когда всё уже теряется, стараются спасти хотя бы то немногое, что ещё можно спасти].","53.39","","","hubsiimo"
"Doqon wixii casarkii lagu caayo ayay cishihii kugu caaysaa","How you curse a fool in the afternoon so will he curse you in the evening.","Как ты дурака обзовёшь днём, так он тебя обзовёт вечером.","53.39","This usually means: One should not do anything with a fool.","Обычно употребляется в значении: с дураком лучше не связываться.","hubsiimo"
"Doqoni meeshii lagu dagaalay waa ogeyd ee meel lagu heshiiyey ma ogeyn","The fool knew where they fought but not where they were reconciled.","Дурак знал, где дрались, да не знал, где помирились.","53.39","","","hubsiimo"
"‘I jiid’, ‘aan ku jiidee’ waa gacmo-daalis","If you pull in one direction and I pull in another, the hands of both of us will get tired.","Если ты будешь тянуть в одну сторону, а я – в другую, у обоих руки устанут.","53.39","","","hubsiimo"
"Intay calooshu buki lahayd cagtu ha bukto","It is better to have an aching leg than an aching spirit [lit.: stomach]; i.e. it is better to endure hardship now than to regret later what one has left undone.","Пусть лучше болит нога, чем душа [букв.: живот]; т. е. лучше перенести тяготы сейчас, чем потом сожалеть о несделанном.","53.39","","","hubsiimo"
"La-yeele ma hilmaamo, laakiin yeele wuu hilmaamaa","(An offence) is forgotten not by the offended but by the offender.","(Обиду) забывает не обиженный, а обидчик.","53.39","","","hubsiimo"
"Nin aan dhul marini dhaayo la’","He who has not travelled the world has no eyes.","Кто земли не обошёл, у того глаз нет.","53.39","","","hubsiimo"
"Oodo dhacameed siday u kala sarreeyaan baa loo kala guraa","As the branches in a fence are piled up, so should they be taken down.","Как ветви в изгороди сложены, так их и разбирать следует.","53.39","","","hubsiimo"
"Qabri qori-saarid mooyee qori-ka-qaadid ma leh","One should take (green) branches to the grave, but should not take them away.","(Зелёные) ветки на могилу приносить можно, а уносить нельзя.","53.39","This means: one should support the one in need, and not expect help from him.","Употребляется в значении: нуждающемуся следует помогать, а не ждать помощи от него.","hubsiimo"
"Sagaaro laba tun oo la kala qalo ma leh","The neck of a miniature antelope cannot be divided in half [i.e. it is too small].","Шею карликовой антилопы пополам не разделишь [т. е. она слишком мала].","53.39","","","hubsiimo"
"Sidaan kuugu lisay iiguma hambayn","I had milked for you much milk but you have left me only a little.","Я надоил тебе много (молока), а ты мне оставил мало.","53.39","According to the Somali tradition, after having been given some milk a guest must leave something for the host.","По сомалийскому обычаю, гость, получив молоко, должен оставить часть хозяину.","hubsiimo"
"Sinji waa magguuraan","You will never get rid of what you were born with [lit: it will not roam from you].","С чем родился, от того не избавишься [букв.: от того не откочуешь].","53.39","","","hubsiimo"
"Bilsaddex gurigaagana way kaa kexeysaa, guri kalana kuma gaarsiiso","The new moon [lit.: a moon that is three days old] will lead you out of your own home but will not lead you into someone else’s [i.e. a decision made prematurely will come to no good].","Молодой месяц [букв.: месяц, которому три дня] выведет тебя из собственного дома, но в чужой не приведёт [т. е. решение, принятое преждевременно, до добра не доведёт].","51.17","","","hubsiimo"
"Carruuri haddii aad kuftid way kugu qososhaa","When a grown-up stumbles and falls, children laugh.","Когда взрослый спотыкается и падает, дети смеются.","51.17","","","hubsiimo"
"Hadday fooli timaaddo, gudo-qarsiimo hadhay","When labour pains begin, one has to forget about shame.","Когда начинаются родовые схватки, о стыде приходится забыть.","51.17","","","hubsiimo"
"Harag sagaaro ‘iiga kac’ mooye ‘iiga durug’ ma leh","If you sit on a dik-dik skin you can only get up from it, not shift about [it is too small].","Со шкуры карликовой антилопы можно только слезть – подвинуться на ней нельзя [она слишком мала].","51.17","","","hubsiimo"
"Helmaan hadal kuma jiro","A slip of the tongue does not count [lit.: does not enter speech]; i.e. what was said inadvertently should not be taken into account.","Оговорка не в счёт [букв.: в речь не входит]; т. е. случайно сказанное не следует принимать в расчёт.","51.17","","","hubsiimo"
"Madax ka kor meel la salaaxo ma leh","Above the head there is nothing to stroke.","Выше головы не погладишь.","51.17","This means: 1) There is a limit to everything; 2) There is no appeal against the decision of your superior.","Употребляется в значении: 1) Всему есть предел; 2) Если начальник отказал в просьбе, обращаться с ней к кому-либо ещё не имеет смысла.","hubsiimo"
"Maxay ku nuugtaa, maxayse ka nuugtaa?","Ah, what will he now suckle and with what?","Ах, чем и что он (теперь) сосать будет?","51.17","This saying goes back to a tale about a hyena who bit the lips off a camel calf and the udder off a she-camel, and then started shedding tears, pretending to be concerned about the fate of the poor calf.","Изречение восходит к сказке о гиене, которая сначала откусила губы верблюжонку и отгрызла вымя у верблюдицы, а затем стала лить слёзы, делая вид, что озабочена судьбой малыша.","hubsiimo"
"Nin gardaran ma guuleysto","He who is unjust will not succeed [i.e. injustice does not lead to well-being].","Несправедливому удачи не будет [т. е. несправедливость не приведёт к благополучию].","51.17","","","hubsiimo"
"Sir-ma-qabe saab baa biyo u celiya","For a simple man even a sab holds water.","У бесхитростного человека даже саб воду держит.","51.17","The sab is an openwork wicker frame for holding a water-jar.","Саб – оплётка кувшина для воды.","hubsiimo"
"Wadiiqada yari waddada weyn bay kugu riddaa","A small path will take you to a big road.","Малая тропка выводит на большую дорогу.","51.17","","","hubsiimo"
"War jiraaba cakaaruu iman","News hurries to a meeting place [i.e. what is secret sooner or later becomes known].","Весть спешит туда, где собираются люди [т. е. тайное рано или поздно становится явным].","51.17","","","hubsiimo"
"Wax qof la toosan baa qof kale la tuur leh","What is straight to one man is crooked to another [i.e. what one man likes, another dislikes].","Что одному ровно, то другому горбато [т. е. что нравится одному, то не нравится другому].","51.17","","","hubsiimo"
"Naagla'aani waa nafla'aan","If there is no wife, then there is no soul.","Без жены – всё равно что без души.","","","","articles"
"Naag waa belaayo loo baahan yahay","Woman is a disaster one cannot do without.","Женщина — несчастье, без которого не обойтись.","","","","articles"
"Tuug wax ka tuhun badan","No one is more afraid than a thief.","Пугливее вора никого нет.","","","","articles"
"Subax iyo sadar, subax baa badan","Days [lit.: mornings] are more than lines in the Quran [i.e. by memorizing one line a day, you can learn the entire Quran by heart].","Дней [букв.: утр] больше, чем строк в Коране [т. е., уча в день по строке в день, можно выучить весь Коран].","","This means: any task can be completed if it is done gradually.","Употребляется в значении: любую работу можно выполнить, если делать её постепенно.","articles"
